Test Instrument:,Cary 500 (1437)
692.6000,  0.8752
692.7000,  0.9384
692.8000,  1.0072
692.9000,  1.0823
693.0000,  1.1647
693.1000,  1.2551
693.2000,  1.3547
693.3000,  1.4642
693.4000,  1.5847
693.5000,  1.7172
693.6000,  1.8629
693.7000,  2.0231
693.8000,  2.1991
693.9000,  2.3926
694.0000,  2.6057
694.1000,  2.8405
694.2000,  3.0997
694.3000,  3.3862
694.4000,  3.7031
694.5000,  4.0541
694.6000,  4.4434
694.7000,  4.8755
694.8000,  5.3556
694.9000,  5.8896
695.0000,  6.4845
695.1000,  7.1481
695.2000,  7.8890
695.3000,  8.7172
695.4000,  9.6432
695.5000, 10.6782
695.6000, 11.8335
695.7000, 13.1203
695.8000, 14.5485
695.9000, 16.1266
696.0000, 17.8607
696.1000, 19.7544
696.2000, 21.8072
696.3000, 24.0153
696.4000, 26.3704
696.5000, 28.8596
696.6000, 31.4655
696.7000, 34.1665
696.8000, 36.9361
696.9000, 39.7445
697.0000, 42.5583
697.1000, 45.3421
697.2000, 48.0593
697.3000, 50.6737
697.4000, 53.1510
697.5000, 55.4604
697.6000, 57.5759
697.7000, 59.4777
697.8000, 61.1530
697.9000, 62.5961
698.0000, 63.8088
698.1000, 64.7994
698.2000, 65.5821
698.3000, 66.1756
698.4000, 66.6018
698.5000, 66.8847
698.6000, 67.0486
698.7000, 67.1174
698.8000, 67.1134
698.9000, 67.0570
699.0000, 66.9662
699.1000, 66.8560
699.2000, 66.7393
699.3000, 66.6261
699.4000, 66.5246
699.5000, 66.4410
699.6000, 66.3800
699.7000, 66.3451
699.8000, 66.3385
699.9000, 66.3615
700.0000, 66.4144
700.1000, 66.4967
700.2000, 66.6069
700.3000, 66.7427
700.4000, 66.9009
700.5000, 67.0777
700.6000, 67.2689
700.7000, 67.4699
700.8000, 67.6763
700.9000, 67.8836
701.0000, 68.0878
701.1000, 68.2855
701.2000, 68.4737
701.3000, 68.6499
701.4000, 68.8122
701.5000, 68.9589
701.6000, 69.0884
701.7000, 69.1996
701.8000, 69.2911
701.9000, 69.3619
702.0000, 69.4108
702.1000, 69.4371
702.2000, 69.4401
702.3000, 69.4198
702.4000, 69.3761
702.5000, 69.3096
702.6000, 69.2211
702.7000, 69.1115
702.8000, 68.9819
702.9000, 68.8330
703.0000, 68.6654
703.1000, 68.4794
703.2000, 68.2744
703.3000, 68.0495
703.4000, 67.8028
703.5000, 67.5317
703.6000, 67.2327
703.7000, 66.9013
703.8000, 66.5324
703.9000, 66.1200
704.0000, 65.6573
704.1000, 65.1370
704.2000, 64.5515
704.3000, 63.8928
704.4000, 63.1530
704.5000, 62.3241
704.6000, 61.3983
704.7000, 60.3681
704.8000, 59.2268
704.9000, 57.9686
705.0000, 56.5893
705.1000, 55.0865
705.2000, 53.4604
705.3000, 51.7140
705.4000, 49.8540
705.5000, 47.8902
705.6000, 45.8360
705.7000, 43.7077
705.8000, 41.5240
705.9000, 39.3052
706.0000, 37.0721
706.1000, 34.8453
706.2000, 32.6443
706.3000, 30.4869
706.4000, 28.3888
706.5000, 26.3632
706.6000, 24.4209
706.7000, 22.5706
706.8000, 20.8184
706.9000, 19.1688
707.0000, 17.6240
707.1000, 16.1846
707.2000, 14.8495
707.3000, 13.6161
707.4000, 12.4803
707.5000, 11.4370
707.6000, 10.4805
707.7000,  9.6045
707.8000,  8.8024
707.9000,  8.0683
708.0000,  7.3964
708.1000,  6.7815
708.2000,  6.2192
708.3000,  5.7056
708.4000,  5.2370
708.5000,  4.8104
708.6000,  4.4226
708.7000,  4.0707
708.8000,  3.7516
708.9000,  3.4624
709.0000,  3.2002
709.1000,  2.9618
709.2000,  2.7447
709.3000,  2.5463
709.4000,  2.3643
709.5000,  2.1969
709.6000,  2.0423
709.7000,  1.8992
709.8000,  1.7666
709.9000,  1.6438
710.0000,  1.5300
710.1000,  1.4247
710.2000,  1.3274
710.3000,  1.2378
710.4000,  1.1553
710.5000,  1.0794
710.6000,  1.0097
710.7000,  0.9455
710.8000,  0.8863
710.9000,  0.8317
711.0000,  0.7810
711.1000,  0.7340
711.2000,  0.6903
711.3000,  0.6496
711.4000,  0.6118
711.5000,  0.5766
711.6000,  0.5438
711.7000,  0.5133
711.8000,  0.4849
711.9000,  0.4584
712.0000,  0.4336
712.1000,  0.4103
712.2000,  0.3883
712.3000,  0.3674
712.4000,  0.3477
712.5000,  0.3290
712.6000,  0.3114
712.7000,  0.2948
712.8000,  0.2792
712.9000,  0.2646
713.0000,  0.2510
713.1000,  0.2384
713.2000,  0.2267
713.3000,  0.2158
713.4000,  0.2056
713.5000,  0.1961
713.6000,  0.1872
713.7000,  0.1787
713.8000,  0.1707
713.9000,  0.1631
714.0000,  0.1559
714.1000,  0.1489
714.2000,  0.1422
714.3000,  0.1357
714.4000,  0.1295
714.5000,  0.1236
714.6000,  0.1179
714.7000,  0.1126
714.8000,  0.1075
714.9000,  0.1027
715.0000,  0.0982
715.1000,  0.0940
715.2000,  0.0901
715.3000,  0.0863
715.4000,  0.0828
715.5000,  0.0795
715.6000,  0.0764
715.7000,  0.0734
715.8000,  0.0706
715.9000,  0.0678
716.0000,  0.0652
716.1000,  0.0627
716.2000,  0.0602
716.3000,  0.0579
716.4000,  0.0556
716.5000,  0.0535
716.6000,  0.0515
716.7000,  0.0495
716.8000,  0.0477
716.9000,  0.0460
717.0000,  0.0444
717.1000,  0.0429
717.2000,  0.0414
717.3000,  0.0399
717.4000,  0.0385
717.5000,  0.0372
717.6000,  0.0358
717.7000,  0.0345
717.8000,  0.0332
717.9000,  0.0320
718.0000,  0.0308
718.1000,  0.0298
718.2000,  0.0287
718.3000,  0.0278
718.4000,  0.0270
718.5000,  0.0262
718.6000,  0.0254
718.7000,  0.0248
718.8000,  0.0242
718.9000,  0.0237
719.0000,  0.0232
719.1000,  0.0228
719.2000,  0.0224
719.3000,  0.0222
719.4000,  0.0216
719.5000,  0.0212
719.6000,  0.0208
719.7000,  0.0190
719.8000,  0.0191
719.9000,  0.0172
720.0000,  0.0119
