Test Instrument:,Cary 500 (1437)
610.3000,  2.3158
610.4000,  2.1479
610.5000,  1.9939
610.6000,  1.8527
610.7000,  1.7233
610.8000,  1.6048
610.9000,  1.4961
611.0000,  1.3964
611.1000,  1.3047
611.2000,  1.2202
611.3000,  1.1419
611.4000,  1.0693
611.5000,  1.0018
611.6000,  0.9389
611.7000,  0.8802
611.8000,  0.8257
611.9000,  0.7749
612.0000,  0.7279
612.1000,  0.6842
612.2000,  0.6437
612.3000,  0.6061
612.4000,  0.5711
612.5000,  0.5385
612.6000,  0.5079
612.7000,  0.4793
612.8000,  0.4524
612.9000,  0.4272
613.0000,  0.4036
613.1000,  0.3815
613.2000,  0.3608
613.3000,  0.3415
613.4000,  0.3236
613.5000,  0.3069
613.6000,  0.2914
613.7000,  0.2769
613.8000,  0.2634
613.9000,  0.2508
614.0000,  0.2389
614.1000,  0.2276
614.2000,  0.2169
614.3000,  0.2066
614.4000,  0.1967
614.5000,  0.1873
614.6000,  0.1782
614.7000,  0.1696
614.8000,  0.1615
614.9000,  0.1538
615.0000,  0.1466
615.1000,  0.1400
615.2000,  0.1338
615.3000,  0.1281
615.4000,  0.1227
615.5000,  0.1176
615.6000,  0.1127
615.7000,  0.1080
615.8000,  0.1035
615.9000,  0.0992
616.0000,  0.0950
616.1000,  0.0910
616.2000,  0.0871
616.3000,  0.0836
616.4000,  0.0802
616.5000,  0.0771
616.6000,  0.0741
616.7000,  0.0714
616.8000,  0.0687
616.9000,  0.0662
617.0000,  0.0637
617.1000,  0.0612
617.2000,  0.0588
617.3000,  0.0564
617.4000,  0.0541
617.5000,  0.0520
617.6000,  0.0499
617.7000,  0.0480
617.8000,  0.0462
617.9000,  0.0445
618.0000,  0.0429
618.1000,  0.0413
618.2000,  0.0398
618.3000,  0.0384
618.4000,  0.0370
618.5000,  0.0357
618.6000,  0.0344
618.7000,  0.0333
618.8000,  0.0322
618.9000,  0.0311
619.0000,  0.0300
619.1000,  0.0290
619.2000,  0.0279
619.3000,  0.0269
619.4000,  0.0259
619.5000,  0.0248
619.6000,  0.0243
619.7000,  0.0230
619.8000,  0.0230
619.9000,  0.0234
620.0000,  0.0206
